"Facility ID","Facility Name","Short Description","Description","Facility Open Date","Facility Address 1","Facility Address 2","Facility City","Facility State","Facility Zip Code","Facility Phone Number","Facility Fax Number","Facility Website","Facility County Code","Facility County","Regional Office ID","Regional Office","Main Site Name","Main Site Facility ID","Operating Certificate Number","Operator Name","Operator Address 1","Operator Address 2","Operator City","Operator State","Operator Zip Code","Cooperator Name","Cooperator Address","Cooperator Address 2","Cooperator City","Cooperator State","Cooperator Zip Code","Ownership Type","Facility Latitude","Facility Longitude","Facility Location"
"12880","Bestcare, Inc.","LHCSA","Licensed Home Care Services Agency","12/01/2005","35 East Grassy Sprain Road","Suite 405","Yonkers","New York","10710-4613","9149613600","9149614029","www.bestcare.com","59","Westchester","6","Metropolitan Area Regional Office - New Rochelle",,,"1400L003","Bestcare, Inc.","3000 Hempstead Turnpike","Suite 205","Levittown","New York","11756-4737",,,,,"New York",,"Business Corporation","40.954049","-73.851699","(40.954049, -73.851699)"
"9854","Samaritan OB/GYN","HOSP-EC","Hospital Extension Clinic","09/25/2015","855 Route 146",,"Clifton Park","New York","12065",,,,"45","Saratoga","4","Capital District Regional Office","Samaritan Hospital","756","4102002H","Samaritan Hospital of Troy NY Inc","2215 Burdett Avenue",,"Troy","New York","12180","St. Peter's Health Partners","315 South Manning Boulevard",,"Albany","New York","12208","Not for Profit Corporation","42.865594","-73.787376","(42.865594, -73.787376)"
"13492","Bena Home Care Agency Inc.","LHCSA","Licensed Home Care Services Agency","01/18/2017","116-07 Liberty Avenue",,"Richmond Hill","New York","11419","7183233053","7183233052",,"7096","Queens","5","Metropolitan Area Regional Office - New York City",,,"2429L001","Bena Home Care Agency Inc.","116-07 Liberty Avenue",,"Richmond Hill","New York","11419",,,,,"New York",,"Partnership","40.68591","-73.82678","(40.68591, -73.82678)"
"9964","Sun River Health Mobile Health Center 1",,"Mobile Diagnostic and Treatment Center Extension Clinic","09/28/2016","1037 Main Street",,"Peekskill","New York","10566",,,,"59","Westchester","6","Metropolitan Area Regional Office - New Rochelle","Sun River Health","1040","5901200R","Sun River Health Care, Inc.","1037 Main Street",,"Peekskill","New York","10566",,,,,"New York",,"Not for Profit Corporation","41.291225","-73.918853","(41.291225, -73.918853)"
"9194","Sunset Park High School","HOSP-SB","School Based Hospital Extension Clinic","01/28/2010","153 35th Street",,"Brooklyn","New York","11232","7186307608",,,"7095","Kings","5","Metropolitan Area Regional Office - New York City","NYU Langone Hospitals","1463","7002053H","NYU Langone Hospitals","550 First Avenue",,"New York","New York","10016",,,,,"New York",,"Not for Profit Corporation","40.655552","-74.004845","(40.655552, -74.004845)"
"2771","Planned Parenthood of Central and Western New York","DTC-EC","Diagnostic and Treatment Center Extension Clinic","11/27/2006","15 Webster Street",,"North Tonawanda","New York","14120","7168312200","7168311065",,"31","Niagara","1","Western Regional Office - Buffalo","Planned Parenthood of Central and Western New York","423","1401238R","Planned Parenthood of Central and Western New York, Inc.","2697 Main Street",,"Buffalo","New York","14214",,,,,"New York",,"Not for Profit Corporation","43.022358","-78.877762","(43.022358, -78.877762)"
"12695","Bethel Licensed Home Care Agency","LHCSA","Licensed Home Care Services Agency","04/10/2003","1045 Park Street",,"Peekskill","New York","10566","9149411300","9149412742","www.bethelwell.com","59","Westchester","6","Metropolitan Area Regional Office - New Rochelle",,,"0952L001","Living Independently For The Elderly, Inc.","19 Narragansett Ave.",,"Ossining","New York","10562-2899",,,,,"New York",,"Not for Profit Corporation","41.29033","-73.91812","(41.29033, -73.91812)"
"147","Columbia County Health Department","DTC","Diagnostic and Treatment Center","09/27/1979","325 Columbia Street",,"Hudson","New York","12534","5188283358",,,"10","Columbia","4","Capital District Regional Office",,,"1001200R","Columbia County","70 North Third Street",,"Hudson","New York","12534",,,,,"New York",,"County","42.253094","-73.789764","(42.253094, -73.789764)"
"4517","East End Hospice Inc","HSPC","Hospice","09/04/1991","481 Westhampton-Riverhead Road",,"Westhampton Beach","New York","11978","6312888400","6312888492",,"51","Suffolk","7","Metropolitan Area Regional Office - Long Island",,,"5158500F","East End Hospice Inc","481 Westhampton-Riverhead Road",,"Westhampton Beach","New York","11978",,,,,"New York",,"Not for Profit Corporation","40.864618","-72.645972","(40.864618, -72.645972)"
"409","Highland Hospital","HOSP","Hospital","01/01/1901","1000 South Avenue",,"Rochester","New York","14620","5854732200",,,"27","Monroe","2","Western Regional Office - Rochester",,,"2701001H","Strong Partners Health System, Inc.","601 Elmwood Avenue",,"Rochester","New York","14642","Highland Hospital of Rochester Inc","South Avenue At Bellevue Dr",,"Rochester","New York","14620","Not for Profit Corporation","43.135769","-77.607544","(43.135769, -77.607544)"
"13552","Igor Homecare, Inc.","LHCSA","Licensed Home Care Services Agency","06/03/2019","2332 Hoffman Street","2nd floor","Bronx","New York","10458","9149968283","3477101969",,"7094","Bronx","5","Metropolitan Area Regional Office - New York City",,,"2535L001","Igor Homecare, Inc.","2332 Hoffman street","2nd floor","Bronx","New York","10458",,,,,"New York",,"Business Corporation","40.85471","-73.88953","(40.85471, -73.88953)"
"14741","New South Shore Manor","AH","Adult Home","04/20/1993","1041 East 83rd Street",,"Brooklyn","New York","11236","7182417035","7182417039",,"7095","Kings","5","Metropolitan Area Regional Office - New York City",,,"331-F-266","George Katz Batsheva Katz David J. Deutsch","1041 East 83rd Street",,"Brooklyn","New York","11236-4225",,,,,"New York",,"Individual","40.634675","-73.908324","(40.634675, -73.908324)"
"10277","Smile New York Outreach, LLC","DTC","Diagnostic and Treatment Center","04/29/2019","1808 Crotona Parkway",,"Bronx","New York","10460","8888331002",,,"7094","Bronx","5","Metropolitan Area Regional Office - New York City",,,"7003272R","Smile New York Outreach, LLC","31-00 47th Avenue",,"Long Island City","New York","11101",,,,,"New York",,"LLC","40.839259","-73.886083","(40.839259, -73.886083)"
"4067","Central New York Eye Center","DTC","Diagnostic and Treatment Center","02/11/2002","22 Green Street",,"Poughkeepsie","New York","12601","8454713720",,,"13","Dutchess","6","Metropolitan Area Regional Office - New Rochelle",,,"1302209R","Central New York Eye Center Ltd","22 Green St",,"Poughkeepsie","New York","12601",,,,,"New York",,"Business Corporation","41.716999","-73.92421","(41.716999, -73.92421)"
"10388","Visiting Docs","DTC","Diagnostic and Treatment Center","01/17/2020","240 North Main Street",,"Spring Valley","New York","10977","3478860410",,,"43","Rockland","5","Metropolitan Area Regional Office - New York City",,,"4328200R","Visiting Services, LLC","240 North Main Street",,"Spring Valley","New York","10977",,,,,"New York",,"LLC","41.12328","-74.03933","(41.12328, -74.03933)"
"15250","U.S. Renal Care Hamburg Dialysis","DTC","Diagnostic and Treatment Center","11/16/2021","3860 McKinley Parkway, Suite 120",,"Blasdell","New York","14219",,,,"14","Erie","1","Western Regional Office - Buffalo",,,"1429200R","USRC Hamburg LLC","3860 McKinley Parkway, Suite 120",,"Blasdell","New York","14219",,,,,"New York",,"LLC","42.77918","-78.81153","(42.77918, -78.81153)"
"7784","Dyker Heights Dialysis Center","DTC-EC","Diagnostic and Treatment Center Extension Clinic","05/19/1999","1435 86th Street",,"Brooklyn","New York","11228","7182585600","7182565828",,"7095","Kings","5","Metropolitan Area Regional Office - New York City","Cleve Hill Dialysis Center","6780","1401232R","Liberty RC, Inc.","3117 Webster Avenue",,"Bronx","New York","10467",,,,,"New York",,"Business Corporation","40.612186","-74.010681","(40.612186, -74.010681)"
"7051","Rogosin Kidney Center-Bklyn Dialysis","DTC-EC","Diagnostic and Treatment Center Extension Clinic","03/17/1997","506 Sixth St-7th Fl Buckley Pavilion",,"Brooklyn","New York","11215",,,,"7095","Kings","5","Metropolitan Area Regional Office - New York City","Rogosin Kidney Center","3136","7002122R","The Rogosin Institute Inc","505 East 70th Street 2nd Floor",,"New York","New York","10021",,,,,"New York",,"Not for Profit Corporation","40.668087","-73.978905","(40.668087, -73.978905)"
"15245","Nathan Littauer Hospital Primary/ Urgent Care","HOSP-EC","Hospital Extension Clinic","11/18/2021","375 Golf Course Road",,"Amsterdam","New York","12010","5182126090",,,"28","Montgomery","4","Capital District Regional Office","Nathan Littauer Hospital","330","1701000H","Nathan Littauer Hospital Inc","99 East State Street",,"Gloversville","New York","12078",,,,,"New York",,"Not for Profit Corporation","42.96753","-74.18899","(42.96753, -74.18899)"
"3914","St. Josephs Place","NH","Residential Health Care Facility - SNF","04/11/1988","160 East Main Street",,"Port Jervis","New York","12771","8458565351",,,"35","Orange","6","Metropolitan Area Regional Office - New Rochelle",,,"3535001N","Bon Secours Community Hospital","160 East Main Street",,"Port Jervis","New York","12771","Bon Secours Charity Health System Inc.","255 Lafayette Avenue",,"Suffern","New York","10901","Not for Profit Corporation","41.367916","-74.682487","(41.367916, -74.682487)"
"1537","Washington Heights Health Center","DTC-EC","Diagnostic and Treatment Center Extension Clinic","09/27/1979","600 West 168th St",,"New York","New York","10032","2123045429",,,"7093","New York","5","Metropolitan Area Regional Office - New York City","New York City Department of Health and Mental Hygiene","1339","7002112R","City of New York","250 Church Street",,"New York","New York","10013",,,,,"New York",,"Municipality","40.841106","-73.939987","(40.841106, -73.939987)"
"15560","The Chautauqua Center Chautauqua PT, OT Dunkirk","DTC-EC","Diagnostic and Treatment Center Extension Clinic","11/03/2023","51 East 3rd Street",,"Dunkirk","New York","14048",,,,"6","Chautauqua","1","Western Regional Office - Buffalo","The Chautauqua Center","9422","0601200R","The Chautauqua Center, Inc.","319 Central Avenue",,"Dunkirk","New York","14048",,,,,"New York",,"Not for Profit Corporation","42.48498","-79.33216","(42.48498, -79.33216)"
"9872","Friedwald Center Adult Health Care at Summit","ADHCP","Adult Day Health Care Program - Offsite","01/01/2016","50 Sanatorium Road",,"Pomona","New York","10970","8456782000","8456782071",,"43","Rockland","6","Metropolitan Area Regional Office - New Rochelle","Friedwald Center for Rehabilitation and Nursing, LLC","787","4350305N","Friedwald Center for Rehabilitation and Nursing, LLC","475 Hempstead Road",,"New City","New York","10956",,,,,"New York",,"LLC","41.159513","-74.038291","(41.159513, -74.038291)"
"14910","The Clark Manor House","AH","Adult Home","02/28/1989","318 Fort Hill Avenue",,"Canandaigua","New York","14424","5853940965","5853943575",,"34","Ontario","1","Western Regional Office - Buffalo",,,"530-E-002","The Clark Manor House","318 Fort Hill Avenue",,"Canandaigua","New York","14424-1137",,,,,"New York",,"Not for Profit Corporation","42.900166","-77.273813","(42.900166, -77.273813)"
"6968","Good Samaritan Hosp Pre-Surg Testing","HOSP-EC","Hospital Extension Clinic","08/31/2005","15 Park Avenue",,"Bay Shore","New York","11706","6312248787",,,"51","Suffolk","7","Metropolitan Area Regional Office - Long Island","Good Samaritan Hospital Medical Center","925","5154001H","Good Samaritan Hospital Medical Center","1000 Montauk Highway",,"West Islip","New York","11795","Catholic Health System of Long Island, Inc.","1 Huntington Quadrangle",,"Melville","New York","11747","Not for Profit Corporation","40.721145","-73.249374","(40.721145, -73.249374)"
"15874","Guthrie Broome Orthopedic and Spine Surgery Center","DTC","Diagnostic and Treatment Center","02/12/2026","400 W Commons Way",,"Johnson City","New York","13790","6074234799",,,"3","Broome","3","Central New York Regional Office",,,"0303202R","Southern Tier Surgery Center, LLC","400 W Commons Way",,"Johnson City","New York","13790",,,,,"New York",,"LLC","42.128999","-75.976706","(42.128999, -75.976706)"
"1679","Far Rockaway Center for Rehabilitation and Nursing","NH","Residential Health Care Facility - SNF","01/01/1901","13-11 Virginia St",,"Far Rockaway","New York","11691","7183272909",,,"7096","Queens","5","Metropolitan Area Regional Office - New York City",,,"7003416N","Rockaway Operations Associates LLC","4770 White Plains Road, #3",,"Bronx","New York","10470",,,,,"New York",,"LLC","40.60998","-73.74529","(40.60998, -73.74529)"
"15371","Roswell Park Mobile Extension Clinic",,"Mobile Hospital Extension Clinic","11/04/2022","Elm And Carlton Streets",,"Buffalo","New York","14263",,,,"14","Erie","1","Western Regional Office - Buffalo","Roswell Park Cancer Institute","216","1401010H","Roswell Park Cancer Institute Corporation","Elm & Carlton Streets",,"Buffalo","New York","14263",,,,,"New York",,"Public Benefit Corporation","42.89854","-78.86501","(42.89854, -78.86501)"
"14803","The Hawthorne","EHP","Enriched Housing Program","04/25/2018","1 Johnsarbor Dr W",,"Rochester","New York","14620-3636","5857601300","5852410365","www.stjohnsliving.org/meadows/assistive-apartments#http://www.stjohnsliving.org/","27","Monroe","1","Western Regional Office - Buffalo",,,"370-S-861","St. John's Meadows","1 Johnsarbor Dr W",,"Rochester","New York","14620-3636",,,,,"New York",,"Not for Profit Corporation","43.12385","-77.59957","(43.12385, -77.59957)"
"4609","PS 503 and Ps 506","HOSP-SB","School Based Hospital Extension Clinic","07/01/1992","330 59th Street",,"Brooklyn","New York","11220","7186307300",,,"7095","Kings","5","Metropolitan Area Regional Office - New York City","NYU Langone Hospitals","1463","7002053H","NYU Langone Hospitals","550 First Avenue",,"New York","New York","10016",,,,,"New York",,"Not for Profit Corporation","40.642139","-74.019135","(40.642139, -74.019135)"
"14880","Brookdale Clinton","AH","Adult Home","05/04/2000","115 Brookside Dr",,"Clinton","New York","13323-9512","3158591947","3158591949","www.assisted.com#http://www.assisted.com#","32","Oneida","3","Central New York Regional Office",,,"510-F-057","Clinton Sterling Cottage Operator, Inc.","115 Brookside Dr",,"Clinton","New York","13323-9512",,,,,"New York",,"Business Corporation",,,
"13579","Changing Seasons Home Care","LHCSA","Licensed Home Care Services Agency","08/22/2016","214 Highbridge Street",,"Fayetteville","New York","13066","3156372273","3156372272",,"33","Onondaga","3","Central New York Regional Office",,,"2587L001","Stacey Ball","214 Highbridge Street",,"Fayetteville","New York","13066",,,,,"New York",,"Individual","43.027158","-76.014843","(43.027158, -76.014843)"
"15048","The Arbors at Islandia West","AH","Adult Home","05/01/1992","1515 Veterans Memorial Highway",,"Islandia","New York","11749","6315823600","6315826082","www.seniorcareassistedliving.com#http://www.seniorcareassistedliving.com#","51","Suffolk","7","Metropolitan Area Regional Office - Long Island",,,"700-F-915","Arcadia Management, Inc.","1515 Veterans Memorial Highway",,"Islandia","New York","11749-4848",,,,,"New York",,"Business Corporation","40.810876","-73.185199","(40.810876, -73.185199)"
"14759","The Watermark at Brooklyn Heights","EHP","Enriched Housing Program","12/03/2020","21 Clark Street",,"Brooklyn","New York","11201","3473434900",,"#http://brooklynheights.watermarkcommunities.com/#","7095","Kings","5","Metropolitan Area Regional Office - New York City",,,"331-S-016","Brooklyn Operating Company, LLC","2020 W. Rudasill Road",,"Tucson","New York","85704",,,,,"New York",,"LLC","40.698126","-73.995162","(40.698126, -73.995162)"
"732","Pontiac Nursing Home","NH","Residential Health Care Facility - SNF","02/01/1979","303 East River Road",,"Oswego","New York","13126","3153431800",,,"37","Oswego","3","Central New York Regional Office",,,"3702313N","Pontiac Nursing Home LLC","303 East River St",,"Oswego","New York","13126",,,,,"New York",,"LLC","43.444843","-76.493805","(43.444843, -76.493805)"
"12892","Valley Vista Home Care Agency","LHCSA","Licensed Home Care Services Agency","10/03/2006","141 North Road",,"Highland","New York","12528-1037","8456917400","8456913787",,"55","Ulster","6","Metropolitan Area Regional Office - New Rochelle",,,"1424L001","New York Seniorcare In The Valley, LLC","141 North Road",,"Highland","New York","12528-1037",,,,,"New York",,"LLC","41.735834","-73.966463","(41.735834, -73.966463)"
"6844","Planned Parenthood Project Street Beat Mobile Health Center",,"Mobile Diagnostic and Treatment Center Extension Clinic","01/13/2006","26 Bleecker Street",,"New York","New York","10012","2129654839","2129656996",,"7093","New York","5","Metropolitan Area Regional Office - New York City","Planned Parenthood Joan Malin Brooklyn Health Center","1332","7002273R","Planned Parenthood of Greater New York, Inc.","26 Bleeker Street",,"New York","New York","10012",,,,,"New York",,"Not for Profit Corporation","40.725521","-73.993538","(40.725521, -73.993538)"
"15390","At Home Solutions, LLC","LHCSA","Licensed Home Care Services Agency","03/03/2023","1873 Western Avenue",,"Albany","New York","12203","5189573223","7184416804",,"1","Albany","4","Capital District Regional Office",,,"1279L002","At Home Solutions, LLC","97-77 Queens Boulevard","Suite 602","Rego Park","New York","11374",,,,,"New York",,"LLC","42.69314","-73.87329","(42.69314, -73.87329)"
"14853","Inspir Carnegie Hill","AH","Adult Home","02/26/2021","1802 2nd Avenue",,"New York","New York","10128","6469789040","3323221227","www.inspirseniorliving.com/carnegie-hill#http://www.inspirseniorliving.com/carne","7093","New York","5","Metropolitan Area Regional Office - New York City",,,"420-F-381","Inspir Carnegie Hill, LLC","55 Greens Farms Rd.",,"Westport","New York","06880",,,,,"New York",,"LLC","40.782372","-73.948109","(40.782372, -73.948109)"
"10032","Neighborhood Health Center Blasdell","DTC-EC","Diagnostic and Treatment Center Extension Clinic","04/12/2017","4233 Lake Avenue",,"Hamburg","New York","14219",,,,"14","Erie","1","Western Regional Office - Buffalo","Neighborhood Health Center of WNY, Inc.","3770","1401219R","Neighborhood Health Center of WNY, Inc.","155 Lawn Avenue",,"Buffalo","New York","14207",,,,,"New York",,"Not for Profit Corporation","42.796984","-78.822168","(42.796984, -78.822168)"
"5516","William Appleby Elementary School",,"School Based Diagnostic and Treatment Center Extension Clinic","06/23/2003","Albro Road (PO Box 399)",,"Marathon","New York","13803",,,,"11","Cortland","3","Central New York Regional Office","Family Health Network of Central New York Inc","4963","1101201R","Family Health Network of Central New York Inc","11 Avena Avenue",,"Cortland","New York","13045",,,,,"New York",,"Not for Profit Corporation","42.448532","-76.036423","(42.448532, -76.036423)"
"6603","Mobile Van#1-Refuah Health Center","DTC-EC","Diagnostic and Treatment Center Extension Clinic","06/17/2002","728 North Main Street",,"Spring Valley","New York","10977",,,,"43","Rockland","6","Metropolitan Area Regional Office - New Rochelle","Refuah Health Center","4771","4353202R","Refuah Health Center","728 North Main Street",,"Spring Valley","New York","10977",,,,,"New York",,"Not for Profit Corporation","41.13995","-74.035431","(41.13995, -74.035431)"
"6179","Orchard Park Dialysis Center","DTC-EC","Diagnostic and Treatment Center Extension Clinic","12/01/2012","3801 Taylor Rd",,"Orchard Park","New York","14127","7162097200","7162097206",,"14","Erie","1","Western Regional Office - Buffalo","Bronx Dialysis Center","6661","7000272R","Knickerbocker Dialysis, Inc","1615-1617 Eastchester Road",,"Bronx","New York","10461",,,,,"New York",,"Business Corporation","42.781647","-78.776512","(42.781647, -78.776512)"
"6929","Eastman Dental Center-Mobile Dental Van #3",,"School Based Diagnostic and Treatment Center Extension Clinic","08/14/2006","625 Elmwood Avenue",,"Rochester","New York","14620","5852731953",,,"27","Monroe","2","Western Regional Office - Rochester","Eastman Dental Center","415","2701231R","University of Rochester Inc","601 Elmwood Avenue",,"Rochester","New York","14620",,,,,"New York",,"Not for Profit Corporation","43.124374","-77.622765","(43.124374, -77.622765)"
"15301","CMADC Mobile Medical on Wheels","DTC-EC","Diagnostic and Treatment Center Extension Clinic","06/24/2022","40 Robert Pitt Drive",,"Monsey","New York","10952","8453526800",,,"43","Rockland","6","Metropolitan Area Regional Office - New Rochelle","Community Medical and Dental Care, Inc.","4798","4353204R","Community Medical and Dental Care, Inc.","40 Robert Pitt Drive",,"Monsey","New York","10952",,,,,"New York",,"Not for Profit Corporation","41.11138","-74.06452","(41.11138, -74.06452)"
"6343","Fishkill Ambulatory Surgery Center","HOSP-EC","Hospital Extension Clinic","09/26/2001","200 Westage Business Center",,"Fishkill","New York","12524","8458388111",,,"13","Dutchess","6","Metropolitan Area Regional Office - New Rochelle","Vassar Brothers Medical Center","181","1302001H","Health Quest Systems, Inc.","45 Reade Place",,"Poughkeepsie","New York","12601","Vassar Brothers Hospital Inc","Reade Place",,"Poughkeepsie","New York","12601","Not for Profit Corporation","41.524715","-73.895485","(41.524715, -73.895485)"
"15222","Northwell Health Cancer Institute at Riverhead, A Program of South Shore University Hospital","HOSP-EC","Hospital Extension Clinic","02/03/2021","896 Old Country Road",,"Riverhead","New York","11901",,,,"51","Suffolk","7","Metropolitan Area Regional Office - Long Island","South Shore University Hospital","924","5154000H","South Shore University Hospital","301 East Main Street",,"Bay Shore","New York","11706","Northwell Healthcare, Inc.","2000 Marcus Ave.",,"New Hyde Park","New York","11042","Not for Profit Corporation","40.93473","-72.67147","(40.93473, -72.67147)"
"12988","Elderchoice, Inc.","LHCSA","Licensed Home Care Services Agency","06/06/2014","One Oxford Crossing","Suite #5","New Hartford","New York","13413","3152527889","3153637275",,"32","Oneida","3","Central New York Regional Office",,,"1603L004","Elderchoice, Inc.","208 West Main Street",,"Elbridge","New York","13060",,,,,"New York",,"Business Corporation","43.054329","-75.27922","(43.054329, -75.27922)"
"13361","Marquis Home Care, Llc","LHCSA","Licensed Home Care Services Agency","10/23/2020","1762 Central Avenue",,"Albany","New York","12205","5182160100","5182160111",,"1","Albany","4","Capital District Regional Office",,,"2188L003","Marquis Home Care, Llc","230 N Main Street",,"Spring Valley","New York","10977",,,,,"New York",,"LLC","42.727281","-73.844998","(42.727281, -73.844998)"
"9311","Project Renewal Inc Mobile Medical Van (Care Van)",,"Mobile Diagnostic and Treatment Center Extension Clinic","02/22/2012","8 East Third Street",,"New York","New York","10003","2126203040","2126339044",,"7093","New York","5","Metropolitan Area Regional Office - New York City","Project Renewal","7676","7002161R","Project Renewal Inc","200 Varick Street",,"New York","New York","10014",,,,,"New York",,"Not for Profit Corporation","40.726082","-73.991211","(40.726082, -73.991211)"
"442","St Johns Health Care Corporation","NH","Residential Health Care Facility - SNF","08/01/1980","150 Highland Avenue",,"Rochester","New York","14620","5852715413",,,"27","Monroe","2","Western Regional Office - Rochester",,,"2701353N","St Johns Health Care Corporation","150 Highland Avenue",,"Rochester","New York","14620",,,,,"New York",,"Not for Profit Corporation","43.130035","-77.609718","(43.130035, -77.609718)"
"9703","Constellation Home Care","CHHA","Certified Home Health Agency","07/16/2014","6851 Jericho Turnpike, Suite 150",,"Syosset","New York","11791","6312464100","6313520032",,"29","Nassau","7","Metropolitan Area Regional Office - Long Island",,,"2952606","Constellation Home Care, LLC","46 Stauderman Avenue",,"Lynbrook","New York","11563",,,,,"New York",,"LLC","40.809208","-73.515465","(40.809208, -73.515465)"
"698","Montefiore St. Luke's Cornwall - Cornwall Campus","HOSP-EC","Hospital Extension Clinic","01/01/1901","19 Laurel Avenue",,"Cornwall","New York","12518","8455347711",,,"35","Orange","6","Metropolitan Area Regional Office - New Rochelle","St Luke's Cornwall Hospital/Newburgh","694","3522000H","St Luke's Cornwall Hospital","19 Laurel Avenue",,"Cornwall","New York","12518","Montefiore Health System, Inc","111 East 210th Street",,"Bronx","New York","10467","Not for Profit Corporation","41.435772","-74.041756","(41.435772, -74.041756)"
"4530","WCHOB Child Protection Center","HOSP-EC","Hospital Extension Clinic","04/01/1998","899 Main Street",,"Buffalo","New York","14203","7168787180",,,"14","Erie","1","Western Regional Office - Buffalo","Buffalo General Medical Center","207","1401014H","Kaleida Health","100 High Street",,"Buffalo","New York","14203",,,,,"New York",,"Not for Profit Corporation","42.89827","-78.86991","(42.89827, -78.86991)"
"1008","Warren Center for Rehabilitation and Nursing","NH","Residential Health Care Facility - SNF","01/01/1901","42 Gurney Lane",,"Queensbury","New York","12804","5187616540","5187616590",,"56","Warren","4","Capital District Regional Office",,,"5657300N","Warren Operations Associates LLC","42 Gurney Lane",,"Queensbury","New York","12804",,,,,"New York",,"LLC","43.359421","-73.706009","(43.359421, -73.706009)"
"15763","Ahava Mobile #4",,"Mobile Diagnostic and Treatment Center Extension Clinic","04/07/2025","16-18 Sumner Place",,"Brooklyn","New York","11206","7183369500",,,"7095","Kings","5","Metropolitan Area Regional Office - New York City","Ahava Medical and Rehabilitation Center, LLC","8621","7001123R","Ahava Medical and Rehabilitation Center, LLC","2555 Nostrand Avenue",,"Brooklyn","New York","11210",,,,,"New York",,"LLC","40.70072","-73.94065","(40.70072, -73.94065)"
"12571","New York Health Care, Inc.","LHCSA","Licensed Home Care Services Agency","05/31/1997","162-04 Jamaica Avenue","Third Floor","Jamaica","New York","11432","7184880900","7184889700","www.nyhc.com","7096","Queens","5","Metropolitan Area Regional Office - New York City",,,"0604L005","New York Health Care, Inc.","162-04 Jamaica Avenue","Third Floor","Jamaica","New York","11432",,,,,"New York",,"Business Corporation","40.704108","-73.797532","(40.704108, -73.797532)"
"7515","Methadone Treatment and Addiction Outpatient Program","HOSP-EC","Hospital Extension Clinic","02/10/1998","317 South Boardway",,"Yonkers","New York","10705","9143787000",,,"59","Westchester","6","Metropolitan Area Regional Office - New Rochelle","St. Joseph's Medical Center","1098","5907002H","St. Josephs Hospital, Yonkers","127 S Broadway",,"Yonkers","New York","10701",,,,,"New York",,"Not for Profit Corporation","40.922802","-73.895821","(40.922802, -73.895821)"
"7646","Baker Victory Healthcare Center","DTC","Diagnostic and Treatment Center","11/01/1998","790 Ridge Road",,"Lackawanna","New York","14218","7168289500",,,"14","Erie","1","Western Regional Office - Buffalo",,,"1402201R","Baker Victory Healthcare Center","790 Ridge Road",,"Lackawanna","New York","14218",,,,,"New York",,"Not for Profit Corporation","42.825882","-78.824112","(42.825882, -78.824112)"
"13601","Nolimits Nyc, Corp","LHCSA","Licensed Home Care Services Agency","06/25/2018","72-35 Broadway","Suite 110","Jackson Heights","New York","11372","3475371157","3477134390",,"7096","Queens","5","Metropolitan Area Regional Office - New York City",,,"2637L001","Nolimits Nyc, Corp","74-09 37th Ave","#203B","Jackson Heights","New York","11372",,,,,"New York",,"Business Corporation",,,
"7672","MVHS North Utica Medical Office","HOSP-EC","Hospital Extension Clinic","06/16/1998","417 Trenton Road",,"Utica","New York","13502",,,,"32","Oneida","3","Central New York Regional Office","Wynn Hospital","15478","3202003H","MVHS, Inc.","111 Hospital Drive",,"Utica","New York","13502","Mohawk Valley Health System","1656 Champlin Ave",,"Utica","New York","13502","Not for Profit Corporation","43.117302","-75.21048","(43.117302, -75.21048)"
"9725","North Shore LIJ Imaging at Garden City","HOSP-EC","Hospital Extension Clinic","09/11/2014","711 Stewart Avenue",,"Garden City","New York","11530","5163213400",,,"29","Nassau","7","Metropolitan Area Regional Office - Long Island","North Shore University Hospital","541","2951001H","North Shore University Hospital Inc","300 Community Drive",,"Manhasset","New York","11030","Northwell Healthcare, Inc.","2000 Marcus Ave.",,"New Hyde Park","New York","11042","Not for Profit Corporation","40.73338","-73.60868","(40.73338, -73.60868)"
"9188","CPH Lawrence Avenue Medical Campus","HOSP-EC","Hospital Extension Clinic","12/28/2010","49 Lawrence Avenue",,"Potsdam","New York","13676","3152615460","3152616460",,"44","Saint Lawrence","3","Central New York Regional Office","Canton-Potsdam Hospital","815","4429000H","Canton-Potsdam Hospital","50 Leroy St",,"Potsdam","New York","13676","St. Lawrence Health System, Inc.","50 Leroy Street",,"Potsdam","New York","13676","Not for Profit Corporation","44.675617","-74.973701","(44.675617, -74.973701)"
"14619","New Fordham Arms Assisted Living","AH","Adult Home","06/13/1990","2915 Williamsbridge Road",,"Bronx","New York","10467","7186553433","7186544307",,"7094","Bronx","5","Metropolitan Area Regional Office - New York City",,,"020-F-819","Bridgewood LLC","2915 Williamsbridge Rd",,"Bronx","New York","10467-8603",,,,,"New York",,"LLC","40.868279","-73.862303","(40.868279, -73.862303)"
"15339","Charles B Wang Community Health Center Inc","DTC-EC","Diagnostic and Treatment Center Extension Clinic","08/18/2022","131-72 40th Road",,"Flushing","New York","11354","2123796988",,,"7096","Queens","5","Metropolitan Area Regional Office - New York City","Charles B Wang Community Health Center Inc","1494","7002107R","Chinatown Action for Progress Inc","89 Baxter Street",,"New York","New York","10013",,,,,"New York",,"Not for Profit Corporation","40.7568","-73.8345","(40.7568, -73.8345)"
